Ronda,Local,Visitante,Goles_Local,Goles_Visitante,Ganador
Octavos,Francia,Paraguay,2,0,Francia
Octavos,Marruecos,Canadá,3,1,Marruecos
Octavos,Noruega,Brasil,2,1,Noruega
Octavos,Inglaterra,México,1,1,Inglaterra
Octavos,España,Portugal,2,1,España
Octavos,Bélgica,Estados Unidos,3,2,Bélgica
Octavos,Argentina,Egipto,2,0,Argentina
Octavos,Colombia,Suiza,1,1,Colombia
Cuartos,Francia,Marruecos,1,0,Francia
Cuartos,Noruega,Inglaterra,1,2,Inglaterra
Cuartos,España,Bélgica,2,1,España
Cuartos,Argentina,Colombia,3,1,Argentina
